AI01,fuel_quantity,factory,output_value,a1_x,a5,state,costop,expshare,emissions_proxy,carbon_intensity,vulnerability,exporter
103306,3388.0,103306,15477484792.0,103306,23942,5,3009254164.0,0,8198.96,5.297346506996974e-07,2.724582090168705e-06,0
105190,6409.0,105190,11669879548.0,105190,23942,6,2728905234.0,0,15509.779999999999,1.3290437091664828e-06,5.683517260607079e-06,0
108554,191.0,108554,39876683732.0,108554,20121,8,17010387534.0,0,496.6,1.2453392647631113e-08,2.9193926299880384e-08,0
108871,206777.97,108871,33246465798.0,108871,23942,8,10946240617.0,0,500402.6874,1.5051304714322526e-05,4.571457040902721e-05,0
108872,138800.07,108872,23062050792.0,108872,23941,8,9147909017.0,18,335896.1694,1.4564887243961804e-05,3.671835484762561e-05,1
108876,1477836.62,108876,130703342036.0,108876,23942,8,34185118213.0,0,3576364.6204000004,2.7362457338045357e-05,0.00010461758821825491,0
108877,28536.01,108877,26251179774.0,108877,23949,8,6950473846.0,1,69057.1442,2.630630120037362e-06,9.93560233878765e-06,1
108878,507907.29,108878,39377577420.0,108878,23941,8,10770484811.0,0,1229135.6417999999,3.121410006232933e-05,0.0001141207348943728,0
108884,493977.9,108884,29333137620.0,108884,23941,8,11009642034.0,0,1195426.518,4.075344865886188e-05,0.00010857996239189986,0
108885,230159.99,108885,22500182710.0,108885,23941,8,10167514997.0,0,556987.1758,2.4754784571258266e-05,5.478105279061237e-05,0
108886,65370.0,108886,26345608990.0,108886,23942,8,6846738406.0,0,158195.4,6.004621113903505e-06,2.3105220415806842e-05,0
108887,238529.96,108887,20026798110.0,108887,23941,8,10696369456.0,0,577242.5031999999,2.882350438794132e-05,5.3966208401319074e-05,0
108901,636043.3,108901,10260526874.0,108901,23942,8,3620087069.0,0,1539224.786,0.0001500142054011251,0.0004251899903681571,0
108906,393665.07,108906,61261500078.0,108906,23941,8,15946412313.0,0,952669.4694,1.5550867480995933e-05,5.9741931332313214e-05,0
108907,61432.04,108907,15043130780.0,108907,23941,8,4924753002.0,0,148665.5368,9.882619447651974e-06,3.0187409752250556e-05,0
109043,23236.0,109043,22566893762.0,109043,24101,8,6267032802.0,27,56231.119999999995,2.491752768149536e-06,8.972526836313182e-06,1
109068,466152.06,109068,153069635522.0,109068,24203,8,59725977643.0,24,1128087.9852,7.369769852479103e-06,1.8887727413068376e-05,1
112453,593.0,112453,127471627206.0,112453,24202,9,58161328317.0,41,1541.8,1.209524059427264e-08,2.650902317080242e-08,1
114671,100.1,114671,21543804078.0,114671,23942,10,8038038625.0,0,242.242,1.1244160925477945e-08,3.013695396369161e-08,0
118971,1983375.05,118971,147791800000.0,118971,24105,19,79020900000.0,0,4799767.621,3.247654890866747e-05,6.074048284694303e-05,0
118972,2200266.68,118972,153500400000.0,118972,24103,19,74995452679.0,0,5324645.3656,3.4688153031523045e-05,7.099957631285812e-05,0
118982,14865.48,118982,11694390952.0,118982,24104,19,5668893393.0,0,35974.461599999995,3.076215063072401e-06,6.345940751756168e-06,0
118986,227450.09,118986,46683440000.0,118986,24102,19,20144090000.0,0,554093.6578,1.1869169405682186e-05,2.750651222269162e-05,0
118999,140409.01,118999,25235833310.0,118999,24104,19,12783345256.0,0,339789.8042,1.3464576343724472e-05,2.6580663933841264e-05,0
119002,32138.99,119002,33624150460.0,119002,24105,19,15250210243.0,0,77776.3558,2.3131099146289034e-06,5.1000185938879195e-06,0
119005,6700.86,119005,15379376000.0,119005,24104,19,8285564000.0,0,16216.081199999999,1.054404365950868e-06,1.9571487469048576e-06,0
119024,129396.12,119024,16119160138.0,119024,24104,19,7461755689.0,0,313138.6104,1.942648424106127e-05,4.196580851094118e-05,0
119030,324768.17,119030,24195501520.0,119030,24103,19,11466875260.0,0,785938.9713999999,3.248285516009424e-05,6.853994253705695e-05,0
119044,33722.24,119044,11029943622.0,119044,24105,19,4870282887.0,0,81607.82079999999,7.398752305245463e-06,1.6756279397616022e-05,0
119047,33790.98,119047,7759783712.0,119047,24103,19,3078239546.0,0,81774.1716,1.0538202433856704e-05,2.6565239767080817e-05,0
120035,2929.0,120035,6397735482.0,120035,23941,20,1978549596.0,0,7088.179999999999,1.1079201414223144e-06,3.5825131774963095e-06,0
120060,3410765.86,120060,306105400000.0,120060,24109,20,125785200000.0,0,8254053.3812,2.696474280166243e-05,6.562022703147906e-05,0
120061,2234818.19,120061,892796002362.0,120061,24103,20,311887191679.0,7,5408260.0198,6.057666035120893e-06,1.7340436427303754e-05,1
120079,908706.8899999999,120079,52289220294.0,120079,24105,20,29341021345.0,0,2204334.052,4.215656763680868e-05,7.512806136094646e-05,0
120103,67848.22,120103,9527744158.0,120103,24104,20,3940104288.0,9,164192.6924,1.7233113072430172e-05,4.167216916061487e-05,1
120104,83262.05,120104,4336287688.0,120104,24102,20,1724325648.0,0,201494.161,4.6466972557564314e-05,0.0001168538908144803,0
120105,73452.98,120105,6211185282.0,120105,24101,20,2891602176.0,0,177756.21159999998,2.861872630255244e-05,6.14732597296261e-05,0
120111,111861.01,120111,34361576992.0,120111,24101,20,15361639374.0,0,270703.6442,7.87809140025863e-06,1.7622054366031623e-05,0
120112,66503.96,120112,6452538330.0,120112,24109,20,3137000110.0,0,160939.58320000002,2.4942057678563226e-05,5.1303658768440406e-05,0
120119,1005913.17,120119,102871532984.0,120119,24105,20,41818956287.0,0,2434309.8714,2.3663590896216326e-05,5.821067973800051e-05,0
120826,1442.44,120826,12074330444.0,120826,23941,21,3628684741.0,0,3490.7048,2.891013142459264e-07,9.619752194394338e-07,0
120879,341501.72,120879,15313718000.0,120879,24102,21,7063188044.0,0,826434.1623999999,5.39669179228715e-05,0.00011700582757414124,0
120902,141008.55,120902,5458109594.0,120902,24102,21,3352681433.0,0,341240.69099999993,6.251994122197905e-05,0.00010178142415835066,0
120905,573617.01,120905,18836252000.0,120905,24101,21,18852048140.0,0,1388153.1642,7.369582676001575e-05,7.363407699212464e-05,0
120908,114242.03,120908,20046180766.0,120908,24105,21,10795555732.0,0,276465.71259999997,1.3791440665291663e-05,2.5609215445991825e-05,0
120910,30719.01,120910,13638185470.0,120910,24104,21,5449837505.0,0,74340.0042,5.450872065314419e-06,1.3640774450943928e-05,0
120914,1078691.52,120914,163317436148.0,120914,24105,21,75854542219.0,0,2610433.4784,1.5983801484823685e-05,3.44136738820914e-05,0
120919,130928.04,120919,8814792208.0,120919,24101,21,6050373206.0,0,316845.85679999995,3.594479022573461e-05,5.236798557910313e-05,0
120939,3664201.1,120939,227061723744.0,120939,24105,21,119000983749.0,0,8867366.662,3.9052670418363794e-05,7.451507023423675e-05,0
120940,666672.13,120940,39729580000.0,120940,24102,21,20009950000.0,0,1613346.5546,4.060819557115882e-05,8.062721569019412e-05,0
120947,32886.15,120947,11673512000.0,120947,24109,21,4650668000.0,0,79584.48300000001,6.817526979027392e-06,1.711248427107676e-05,0
120953,97673.98,120953,4645512830.0,120953,24102,21,1813031448.0,0,236371.0316,5.088157976306783e-05,0.0001303733765129925,0
120968,2027450.17,120968,249558865428.0,120968,24105,21,111935008802.0,0,4906429.4114,1.9660409190374162e-05,4.383284071633837e-05,0
120970,2914848.59,120970,224692856998.0,120970,24105,21,111010754642.0,0,7053933.5878,3.139367081821736e-05,6.354279466479009e-05,0
120973,78608.95,120973,3946170082.0,120973,24103,21,1940814002.0,0,190233.65899999999,4.8207161639516985e-05,9.801746009868286e-05,0
120986,45042.0,120986,370977350000.0,120986,24202,21,176448231705.0,0,109001.64,2.938228978130336e-07,6.177542214321394e-07,0
120988,134342.9,120988,53063000000.0,120988,24202,21,29775600000.0,0,325109.81799999997,6.126864632606524e-06,1.0918665551659747e-05,0
121538,11198.41,121538,7803918400.0,121538,23941,22,5093952280.0,0,27100.1522,3.4726339783358064e-06,5.320064011278881e-06,0
121539,101628.06,121539,39707347348.0,121539,23941,22,10468592588.0,0,245939.90519999998,6.193813528880508e-06,2.3493120315133616e-05,0
121542,8590.0,121542,23491127006.0,121542,23941,22,4685171809.0,0,20787.8,8.849213575274814e-07,4.436934406560628e-06,0
121544,72087.97,121544,39031053092.0,121544,23941,22,9545351556.0,0,174452.8874,4.4695921216575306e-06,1.8276213964098862e-05,0
121548,18894.0,121548,33403570426.0,121548,23942,22,7979054722.0,0,45723.479999999996,1.3688201415861424e-06,5.730438202652046e-06,0
121550,26665.0,121550,29885572392.0,121550,23942,22,8627075811.0,0,64529.299999999996,2.1592124505292627e-06,7.479857765677863e-06,0
121576,4371139.44,121576,386296600000.0,121576,24103,22,183100100000.0,0,10578157.4448,2.738351164571472e-05,5.777253778015414e-05,0
121700,107436.97,121700,15091868192.0,121700,24105,22,6976881478.0,0,259997.4674,1.7227652938144612e-05,3.7265570329644056e-05,0
121719,186852.02,121719,32285460212.0,121719,24103,22,11962900825.0,0,452181.88839999994,1.4005743930264032e-05,3.779868236097326e-05,0
126600,106604.01,126600,6227441738.0,126600,23941,24,3016264370.0,0,257981.70419999998,4.1426594587917116e-05,8.553020311014713e-05,0
126603,281673.05,126603,22778200000.0,126603,23941,24,12331400000.0,0,681648.781,2.99254893275149e-05,5.527748520038276e-05,0
126605,257883.86,126605,22555877288.0,126605,23941,24,8418532423.0,0,624078.9412,2.7668129828495634e-05,7.413155997296799e-05,0
126607,209678.62,126607,26887145184.0,126607,23941,24,7725750242.0,0,507422.26039999997,1.8872299640869152e-05,6.567935080808945e-05,0
126609,120177.06,126609,11685732000.0,126609,23941,24,3905897300.0,0,290828.4852,2.4887485456623513e-05,7.44588151869738e-05,0
126677,2634872.38,126677,537234800000.0,126677,24105,24,257976800000.0,0,6376391.1596,1.1868909384872312e-05,2.4716917023546303e-05,0
126695,14886.0,126695,20020936982.0,126695,24109,24,10272572330.0,35,36024.119999999995,1.799322380984856e-06,3.5068256365346026e-06,1
126696,3732.64,126696,8048612080.0,126696,24102,24,4474111001.0,5,9704.864,1.2057810593351394e-06,2.1691156070626958e-06,1
126699,53353.02,126699,10933702388.0,126699,24103,24,5679982635.0,40,129114.3084,1.1808836917100107e-05,2.2731461818984943e-05,1
126702,28068.0,126702,15984430520.0,126702,24101,24,8483871643.0,0,67924.56,4.249420078808037e-06,8.006316320926922e-06,0
132273,38438.99,132273,23204746152.0,132273,23942,27,5673346357.0,0,93022.35579999999,4.0087642067130506e-06,1.6396382301818275e-05,0
132274,110660.78,132274,19446071946.0,132274,23942,27,7013636016.0,0,267799.08759999997,1.3771371840218119e-05,3.818263265859218e-05,0
132275,40504.86,132275,3827231746.0,132275,23943,27,1732780872.0,0,98021.7612,2.5611660778693802e-05,5.656904619847396e-05,0
132278,23555.99,132278,33835979842.0,132278,23942,27,6446241363.0,0,57005.495800000004,1.684759716319493e-06,8.843214609865362e-06,0
132283,28250.39,132283,12178255678.0,132283,23943,27,6994969434.0,0,68365.9438,5.6137714306247455e-06,9.77358721078866e-06,0
132368,49522.99,132368,35085957956.0,132368,24105,27,15843686132.0,0,119845.63579999999,3.4157720860947836e-06,7.564252081335033e-06,0
132415,2601863.37,132415,359135329434.0,132415,24105,27,222811761221.0,0,6296509.3554,1.7532414216455245e-05,2.825932222291753e-05,0
132425,82107.76,132425,6483601922.0,132425,24102,27,3274983819.0,0,198700.7792,3.064666547860894e-05,6.067229341629916e-05,0
136279,132652.05,136279,20279919324.0,136279,23941,28,9864800977.0,0,321017.96099999995,1.5829350988595674e-05,3.254175748182456e-05,0
136281,58518.05,136281,2937766394.0,136281,23942,28,1297354601.0,0,141613.681,4.8204541140244256e-05,0.00010915572418739201,0
136284,68714.02,136284,14794698386.0,136284,23941,28,3485764167.0,0,166287.9284,1.1239697090233063e-05,4.770487056303485e-05,0
136285,27478.01,136285,4303348210.0,136285,23941,28,1200103598.0,0,66496.7842,1.5452336402960986e-05,5.540920326446683e-05,0
136286,157501.99,136286,31018997764.0,136286,23942,28,13411636557.0,0,381154.8158,1.2287786301153814e-05,2.8419709569378542e-05,0
136288,86166.01,136288,16856508000.0,136288,23942,28,8064200000.0,0,208521.7442,1.237039985980489e-05,2.5857709903028198e-05,0
136289,52418.03,136289,41721400000.0,136289,23942,28,10165573430.0,0,126851.6326,3.0404452535149828e-06,1.2478551600999058e-05,0
136290,62470.03,136290,19906387314.0,136290,23942,28,3579282980.0,0,151177.47259999998,7.594420334305366e-06,4.22368036963649e-05,0
136293,13570.0,136293,14012719772.0,136293,23942,28,3504157395.0,0,32839.4,2.343542191261056e-06,9.371553928159098e-06,0
136296,20588.01,136296,6075046000.0,136296,23942,28,2539382000.0,0,49822.98419999999,8.201252171588493e-06,1.9620121824916452e-05,0
136297,167857.94,136297,19903988000.0,136297,23942,28,6879071922.0,0,406216.2148,2.0408785154010342e-05,5.905102016754289e-05,0
136298,121860.97,136298,11757469978.0,136298,23941,28,5096447678.0,0,294903.5474,2.5082228400481482e-05,5.7864529576751985e-05,0
136348,4288537.76,136348,369829213074.0,136348,24108,28,193265762802.0,0,10378261.379199998,2.8062308255576846e-05,5.3699430404714184e-05,0
136355,260731.84000000003,136355,105923908204.0,136355,24103,28,44561797831.0,0,648561.5618,6.12290060664046e-06,1.4554205471234817e-05,0
136359,68304.01,136359,24786102000.0,136359,24101,28,11785317000.0,0,165295.70419999998,6.668886628482364e-06,1.4025562842306233e-05,0
136365,167321.8,136365,5177621522.0,136365,24104,28,2438238108.0,0,404918.75599999994,7.82055533181554e-05,0.00016607022696898968,0
136371,134898.88,136371,21646604838.0,136371,24104,28,7522894833.0,0,326455.2896,1.5081131292558038e-05,4.339490273982939e-05,0
136375,9851.23,136375,2502959132.0,136375,24102,28,1108843609.0,0,23839.976599999998,9.524716682429635e-06,2.1499854809552317e-05,0
136380,6441.0,136380,3777403726.0,136380,24104,28,1746838006.0,0,15587.22,4.126437397388219e-06,8.923105603645768e-06,0
136401,325452.25,136401,10622846616.0,136401,24204,28,4719169815.0,0,787594.445,7.414156237686186e-05,0.0001668925840508242,0
136403,2007.0,136403,1161550130.0,136403,24204,28,488282470.0,0,4856.94,4.181429517811684e-06,9.946988266852995e-06,0
139032,87123.04,139032,31628653886.0,139032,23942,29,10736010249.0,0,210837.75679999997,6.666036359306599e-06,1.9638371416387047e-05,0
139034,114386.99,139034,39652712278.0,139034,23941,29,10164096877.0,0,276816.5158,6.981023488614738e-06,2.7234738034266375e-05,0
139043,231505.02,139043,15691481086.0,139043,23941,29,5581243530.0,0,601913.052,3.835922490051173e-05,0.00010784568864709618,0
139044,223819.92,139044,22469746000.0,139044,23941,29,6261650000.0,0,541644.2064,2.4105488615670155e-05,8.650183360615813e-05,0
139048,28804.01,139048,26090833082.0,139048,23941,29,6584614539.0,0,69705.7042,2.671654982457796e-06,1.0586148025391649e-05,0
139053,109263.98,139053,17217895820.0,139053,23941,29,5204253598.0,0,264418.8316,1.5357209403767898e-05,5.0808214208011774e-05,0
139110,8922372.9,139110,858182007424.0,139110,24103,29,372620848531.0,0,21592142.418,2.5160329896466847e-05,5.7946683614520444e-05,0
139113,17384.0,139113,21028642000.0,139113,24101,29,11144043659.0,0,42069.28,2.0005704600420704e-06,3.7750462298327936e-06,0
139114,156712.96,139114,22607220000.0,139114,24101,29,9184300000.0,0,379245.36319999996,1.6775409059583618e-05,4.1292789129274957e-05,0
139121,25585.99,139121,2075748980.0,139121,24102,29,1251326057.0,0,61918.0958,2.982927916457413e-05,4.948198389510561e-05,0
139122,70595.34,139122,3125326556.0,139122,24102,29,1308295759.0,0,170840.7228,5.46633190928545e-05,0.00013058264664144646,0
139123,173085.92,139123,8624444376.0,139123,24102,29,4066700339.0,0,418867.9264,4.856752599223906e-05,0.00010299945692654587,0
139131,719282.84,139131,38932674206.0,139131,24102,29,13543084380.0,0,1740664.4727999999,4.470960467780408e-05,0.0001285279205208644,0
139133,97807.92,139133,4080668252.0,139133,24103,29,1985979948.0,0,236695.1664,5.800402085712112e-05,0.00011918305954617825,0
139135,65381.02,139135,3144133490.0,139135,24102,29,1521963241.0,0,158222.0684,5.0322948724419457e-05,0.00010395919174502585,0
139136,140719.91,139136,13346430582.0,139136,24102,29,5946505850.0,0,340542.1822,2.551559985328817e-05,5.726761072638985e-05,0
139140,167194.98,139140,8825172662.0,139140,24102,29,4701317442.0,0,404611.8516,4.5847471442933225e-05,8.606350381391667e-05,0
139144,161322.98,139144,24197567066.0,139144,24101,29,9577673041.0,0,390401.6116,1.6133920014981725e-05,4.07616348907269e-05,0
139147,109490.06,139147,9685076364.0,139147,24109,29,4749166876.0,0,264965.94519999996,2.7358167890641935e-05,5.579208987980821e-05,0
148952,170657.1,148952,21282331150.0,148952,23941,33,8379594213.0,0,412990.18200000003,1.9405307580697052e-05,4.928522449921168e-05,0
148960,271735.75,148960,21878834944.0,148960,23942,33,9021770754.0,0,657600.515,3.0056468577196282e-05,7.28904039939652e-05,0
148962,12818.0,148962,20982819632.0,148962,23942,33,5128882113.0,0,31019.559999999998,1.4783313465028025e-06,6.048015789127965e-06,0
148966,209030.16,148966,22077217226.0,148966,23941,33,6791939729.0,0,505852.9872,2.2912896223363907e-05,7.447842698605312e-05,0
148968,12753.84,148968,11202490216.0,148968,23942,33,4386669277.0,0,30864.2928,2.7551278514769825e-06,7.035928822313176e-06,0
148969,4615.0,148969,15545192880.0,148969,23942,33,4159162902.0,0,11168.3,7.184407479670975e-07,2.6852278362623264e-06,0
149110,934426.35,149110,91445757522.0,149110,24101,33,31184167220.0,0,2261311.767,2.472844917333616e-05,7.25147396448575e-05,0
149153,361069.03,149153,14731408000.0,149153,24105,33,8859272000.0,0,873787.0526,5.93145646770492e-05,9.862966760699977e-05,0
153696,3943.0,153696,13809361544.0,153696,23942,36,5553759340.0,0,9542.06,6.909848778740904e-07,1.7181263025343838e-06,0
207304,54112.78,207304,2504968192.0,207304,24102,19,1081653908.0,0,130952.9276,5.227728161108722e-05,0.00012106730871257574,0
208180,3512.0,208180,3931651872.0,208180,24103,21,1890708598.0,0,8499.039999999999,2.161696985566681e-06,4.495161236898336e-06,0
215447,69158.96,215447,14724745830.0,215447,23941,28,5456215426.0,0,167364.6832,1.1366218821856567e-05,3.067413401649658e-05,0
